urn,full_urn,posted_at,text,url,post_type,author,stats,media,pagination_token,article,reshared_post,document
"{'activity_urn': '7402578320082796544', 'share_urn': '7402578319201910784', 'ugcPost_urn': None}",urn:li:activity:7402578320082796544,"{'date': '2025-12-05 06:23:24', 'relative': '8 hours ago • Visible to anyone on or off LinkedIn', 'timestamp': 1764912204762}",Had shared this few months back. Update on this- we are investing in Praan Health and supporting Navneeth to solve for elder care in India. Massive opportunity that needs patient capital.,https://www.linkedin.com/posts/dilipevs_had-shared-this-few-months-back-update-on-activity-7402578320082796544-I_Bn?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 911, 'like': 821, 'support': 12, 'love': 45, 'insight': 7, 'celebrate': 26, 'funny': 0, 'comments': 35, 'reposts': 7}","{'type': 'image', 'url': 'https://media.licdn.com/dms/image/v2/D5622AQGHUCp8gcu5Ig/feedshare-shrink_1280/B56Zrs9vUcJwAs-/0/1764912203845?e=1766620800&v=beta&t=O53FEvySivpRSwo8Xa-6jA40E9SsUC8Jim6GHwIgMHQ', 'images': [{'url': 'https://media.licdn.com/dms/image/v2/D5622AQGHUCp8gcu5Ig/feedshare-shrink_1280/B56Zrs9vUcJwAs-/0/1764912203845?e=1766620800&v=beta&t=O53FEvySivpRSwo8Xa-6jA40E9SsUC8Jim6GHwIgMHQ', 'width': 1179, 'height': 1218}]}",dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
"{'activity_urn': '7401849720417275904', 'share_urn': '7401849717430870016', 'ugcPost_urn': None}",urn:li:activity:7401849720417275904,"{'date': '2025-12-03 06:08:13', 'relative': '2 days ago • Visible to anyone on or off LinkedIn', 'timestamp': 1764738493065}","We are launching something new and very excited about it. A few months ago, I spoke about the need for a large platform that makes health & fitness a part of India’s everyday culture. Since no one built it, we decided to build it ourselves. This pic is from the the meeting where we decided to launch peakst8. 

Through Rainmatter, we’ve supported 40+ companies across health, fitness and sports. One thing has always been clear to us is-India needs a cultural movement around fitness, sports & not just products and apps. So on Jan 10th, in Bangalore, we’re launching Peakst8 Fest. A health & fitness festival India hasn’t seen yet.

This is for everyone, whether you're fit, unfit, curious, starting again, or just looking for inspiration. We’ll bring together multiple sports formats, fitness workouts, conversations with athletes, experts and people who actually walk the talk around physical and mental health. We want to build this with partners and not alone. If you're a brand or community that believes in this mission, let’s collaborate. See you on Jan 10th and hopefully we get to do a few sessions together 😊",https://www.linkedin.com/posts/dilipevs_we-are-launching-something-new-and-very-excited-activity-7401849720417275904-yH9h?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 1247, 'like': 1070, 'support': 17, 'love': 101, 'insight': 4, 'celebrate': 55, 'funny': 0, 'comments': 138, 'reposts': 13}","{'type': 'image', 'url': 'https://media.licdn.com/dms/image/v2/D5622AQHIcvmnQui00Q/feedshare-shrink_2048_1536/B56ZrinD__LwAw-/0/1764738491242?e=1766620800&v=beta&t=RAEegYS2mq3KzggZF-7ytNZKWD0ztfliGbsc6nM4hks', 'images': [{'url': 'https://media.licdn.com/dms/image/v2/D5622AQHIcvmnQui00Q/feedshare-shrink_2048_1536/B56ZrinD__LwAw-/0/1764738491242?e=1766620800&v=beta&t=RAEegYS2mq3KzggZF-7ytNZKWD0ztfliGbsc6nM4hks', 'width': 2048, 'height': 1365}]}",dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
"{'activity_urn': '7401119303774793728', 'share_urn': '7401119303120556032', 'ugcPost_urn': None}",urn:li:activity:7401119303774793728,"{'date': '2025-12-01 05:45:48', 'relative': '4 days ago • Visible to anyone on or off LinkedIn', 'timestamp': 1764564348167}","Everyone is experiencing brain fog. Including you. Stop scrolling, stop watching stupid reels, unfollow the nonsense, get out of the rubbish whatsapp groups, keep your phone away for atleast few hours a day, make something you’re proud of, help people without them asking, stop wasting time on gossip & outrage, choose what actually matters, protect your time, invest in your health, create more than you consume. Read a book. Save yourself.",https://www.linkedin.com/posts/dilipevs_everyone-is-experiencing-brain-fog-including-activity-7401119303774793728-sX8F?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 2357, 'like': 2012, 'support': 93, 'love': 214, 'insight': 16, 'celebrate': 20, 'funny': 2, 'comments': 136, 'reposts': 69}",,dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
"{'activity_urn': '7399324940887363584', 'share_urn': '7399324937917775872', 'ugcPost_urn': None}",urn:li:activity:7399324940887363584,"{'date': '2025-11-26 06:55:38', 'relative': '1 week ago • Visible to anyone on or off LinkedIn', 'timestamp': 1764136538717}","Someone asked advice for engineers & founders to get fit and stay fit while spending 10-12hr/day working on the computer. What one can do is so simple that most will find it hard to follow. 

#1 Get out of your home the moment you wake up. Hit the gym, go for a run. Do anything that moves your body. 

#2 Don’t touch your phone untill you’re done with #1. Your mind shouldn’t be reacting before your body wakes up. 

#3 On days you can’t do the #1, get min 10k steps. Take calls while walking and meetings on the move. Your work always doesn’t need your chair. 

#4 Eat as if your life depends on it. Whole foods always first. Don’t make your body a profit center for others. 

#5 Sleep like you are paid to do it. No health hack beats 7–8 hours of recovery. 

Btw, you can do all the above but if you don’t learn to deal the chaos in your head and bullshit people around you, you’re still going to be unhealthy & unfit. 

Ignoring some people for your mental health is not a weakness. It is your superpower.

Most engineers & founders want an optimal protocol. The real value is in the boring things that you’ve to keep doing consistently. Your health is the real moat.",https://www.linkedin.com/posts/dilipevs_someone-asked-advice-for-engineers-founders-activity-7399324940887363584-PXnU?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 1047, 'like': 899, 'support': 22, 'love': 107, 'insight': 14, 'celebrate': 5, 'funny': 0, 'comments': 82, 'reposts': 24}",,dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
"{'activity_urn': '7397875929122947074', 'share_urn': '7397875926245662720', 'ugcPost_urn': None}",urn:li:activity:7397875929122947074,"{'date': '2025-11-22 06:57:47', 'relative': '1 week ago • Visible to anyone on or off LinkedIn', 'timestamp': 1763791067391}","We have some of the most talented founders in India solving real problems but don’t get enough attention. We met a founder who served as a doctor in the Indian Army. And now is building a smart stethoscope that helps doctors detect heart and lung disorders early and accurately.

Why this matters- India has a severe shortage of cardiologists and one of the highest rates of premature deaths from cardiac and respiratory diseases. Most clinics especially in rural areas don’t have specialists or advanced diagnostics.

His solution, AiSteth, uses AI to screen and detects cardio respiratory disorders early, making high quality diagnosis affordable and accessible to every clinic, even with limited staff or equipment.

We may not build the next Tesla or AGI  but we have founders who are quietly fixing the hard problems nobody else wants to touch. This is the kind of innovation India needs.",https://www.linkedin.com/posts/dilipevs_we-have-some-of-the-most-talented-founders-activity-7397875929122947074-vFUx?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 711, 'like': 640, 'support': 21, 'love': 42, 'insight': 3, 'celebrate': 5, 'funny': 0, 'comments': 47, 'reposts': 5}",,dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
"{'activity_urn': '7397138926496497664', 'share_urn': '7397138925808443392', 'ugcPost_urn': None}",urn:li:activity:7397138926496497664,"{'date': '2025-11-20 06:09:12', 'relative': '2 weeks ago • Visible to anyone on or off LinkedIn', 'timestamp': 1763615352272}","Two boys from Bhayander, Mumbai built a men grooming company called Muuchstac. Sells only one product- face wash. Company makes 80cr in revenue and 30cr profit and no external funding. Don't even have a website and sells only through marketplaces. Godrej bought the company at 450cr. Founders get 15,000x return. So many opportunities in India to build nice profitable companies. 

Stop chasing for valuations and start building for profitability. Profit is the only true moat. Everything else is noise.",https://www.linkedin.com/posts/dilipevs_two-boys-from-bhayander-mumbai-built-a-men-activity-7397138926496497664-24DQ?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 3852, 'like': 3481, 'support': 26, 'love': 183, 'insight': 45, 'celebrate': 116, 'funny': 1, 'comments': 126, 'reposts': 29}",,dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
"{'activity_urn': '7396777492012945408', 'share_urn': '7396777490414858242', 'ugcPost_urn': None}",urn:li:activity:7396777492012945408,"{'date': '2025-11-19 06:12:59', 'relative': '2 weeks ago • Visible to anyone on or off LinkedIn', 'timestamp': 1763529179576}","Amul has evolved from a dairy to a nutrition brand and is probably the most underrated case study in modern day business. They did a revenue of 90,000cr in FY25. Hard to think of another company in the world that has done something similar. Notes on what i think they got right..

1) They innovate at cooperative speed not startup speed and still wins. Launched 250 product launches in 5 years and that's crazy speed for a cooperative with millions of farmers, 18000+ village societies, and government-linked processes. Most companies will shiver at this speed.

2) They turned cold chain into a moat decades before most startups spoke about supply chain tech. They run India’s largest cold supply chain with refrigeration networks across rural area and temperature controlled logistics in small towns. This single capability lets them enter any nutrition category quickly.

3) The nutrition transition feels like farmer driven. More milk production means surplus fat & SNF (casien, whey , lactose) and therefore opportunity to create value added products. Every new category like whey, chocolates, drinks, cheese, creates more value for farmers. Most nutrition brands optimise for margins but they optimise for farmer income.

4) Amul is probably the only brand that simultaneously sells mass and premium products all under same brand,  same dairy and distribution and with same trust. Their products range for Rs 5 to 500. Most brands split into sub brands while Amul let the trust carry everything.

No obsession with burn, CAC ,CM1/2 growth and branding. They quietly proved that trust, scale and farmer first thinking can still beat everyone.",https://www.linkedin.com/posts/dilipevs_amul-has-evolved-from-a-dairy-to-a-nutrition-activity-7396777492012945408-sVKw?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 480, 'like': 419, 'support': 3, 'love': 31, 'insight': 26, 'celebrate': 1, 'funny': 0, 'comments': 56, 'reposts': 4}",,dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
"{'activity_urn': '7396053564546203648', 'share_urn': '7396053563837362176', 'ugcPost_urn': None}",urn:li:activity:7396053564546203648,"{'date': '2025-11-17 06:16:21', 'relative': '2 weeks ago • Visible to anyone on or off LinkedIn', 'timestamp': 1763356581818}","In the last few weeks, a bunch of companies went IPO and it’s a reminder that entrepreneurship can create enormous wealth for founders and their teams. But it’s also a reminder that most founders will spend years just trying to survive. Thousands are still surviving on belief, debt, delayed and no salaries. I know a few we invested in. And this is what most VCs don’t share. 

Entrepreneurship looks glamorous in hindsight but in reality, it’s years of uncertainty, low pay and stubborn belief. Till the age of 40, my average monthly salary as a founder was ~30k. Barely any savings after 15 years of building. Out of the three startups I built, one paid back moderately. Two were write offs. Only in the last two years did I see a 6 figure salary for the first time in my career.

But I’ll be honest, if you stay long enough in the game, sometimes it pays back in ways you never planned for. What I get to do now wasn’t even on my bucket list. But entrepreneurship created that pathway.

So, not every founder will ring the IPO bell or build a unicorn and that’s okay. The win isn’t always the valuation. Don’t fool yourself and build something meaningful. It will take time and it will take more out of you than you planned. It’s the resilience you build while fighting to survive that creates your pathway. 

Stay stubborn & keep building.
The world may not notice you yet.But when it finally does, it’ll act like it believed in you from day one.",https://www.linkedin.com/posts/dilipevs_in-the-last-few-weeks-a-bunch-of-companies-activity-7396053564546203648-2d3k?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 653, 'like': 542, 'support': 23, 'love': 77, 'insight': 6, 'celebrate': 5, 'funny': 0, 'comments': 65, 'reposts': 7}",,dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
"{'activity_urn': '7394638641383452672', 'share_urn': '7394638640871579648', 'ugcPost_urn': None}",urn:li:activity:7394638641383452672,"{'date': '2025-11-13 08:33:57', 'relative': '3 weeks ago • Visible to anyone on or off LinkedIn', 'timestamp': 1763019237848}","15–20% of medicines in India are fake or substandard. Pharma is a $58Billion market. This is not fear mongering but a reminder that your health shouldn’t rely on what comes in tablets. 

Prevention is still the cheapest, safest, and most authentic form of healthcare.

Move daily. Eat clean.Sleep well. Manage stress. Get regular blood work.

Build a life where you don’t need medicines often.",https://www.linkedin.com/posts/dilipevs_1520-of-medicines-in-india-are-fake-or-activity-7394638641383452672-qNyS?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 412, 'like': 357, 'support': 28, 'love': 26, 'insight': 1, 'celebrate': 0, 'funny': 0, 'comments': 47, 'reposts': 12}",,dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
"{'activity_urn': '7393876387796803584', 'share_urn': '7393876386257526784', 'ugcPost_urn': None}",urn:li:activity:7393876387796803584,"{'date': '2025-11-11 06:05:02', 'relative': '3 weeks ago • Visible to anyone on or off LinkedIn', 'timestamp': 1762837502431}","Hey Deepinder - love seeing this and your continued interest towards health. Having met a lot of healthy food founders over the past few years and investing in a few, one big learning is people don’t want “healthy”, they want familiar food made better. 

Anything that sounds like “we’ll make you healthy” alienates the mainstream user. Parathas and Biryanis are not bad. It can be prepared in a healthier way. 

Some thoughts from our experience of working with companies in this space. 

1. Most “healthy eating” products fail because they expect the user to change habits overnight. I think there is an opportunity for Zomato to perhaps subtly nudge users. Like someone ordering a pizza at 10pm. You could suggest healthier alternatives. Don’t take away dosa, just add an option to make it with less oil.  

2. Most Indians don’t relate to quinoa and kale. They relate to better rotis, less sugar, and less fried snacks. The challenge is late dinners, long sitting hours, and irregular eating. There could be an opportunity to personalise timing and portion cues and that can do more good than macro labels.

3. People have been misled by “low fat”, “organic”, “fit” claims for years. We’ve to take a stand to show ingredient level truth & not marketing adjectives. You can enable that through your platform. 

4. Healthy options often cost 1.5–2x more, which limits repeat usage. Consumers will pay once for novelty, but daily health behaviour needs affordable habit loops.

If Zomato pulls this off right, it won’t just be a product feature but could shift public eating behaviour at scale. The real opportunity is to make healthier eating accessible and culturally relevant. That’s the hardest and most meaningful problem to solve.",https://www.linkedin.com/posts/dilipevs_hey-deepinder-love-seeing-this-and-your-activity-7393876387796803584-he8S?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 919, 'like': 813, 'support': 31, 'love': 39, 'insight': 20, 'celebrate': 14, 'funny': 2, 'comments': 85, 'reposts': 5}","{'type': 'image', 'url': 'https://media.licdn.com/dms/image/v2/D5622AQEw8fyg-Cqu8A/feedshare-shrink_1280/B56ZpxTSVQI8As-/0/1762837500825?e=1766620800&v=beta&t=GhBupUV3HofLMnLAdyFDx38N_jKAuSK2IqDhuHZ1avo', 'images': [{'url': 'https://media.licdn.com/dms/image/v2/D5622AQEw8fyg-Cqu8A/feedshare-shrink_1280/B56ZpxTSVQI8As-/0/1762837500825?e=1766620800&v=beta&t=GhBupUV3HofLMnLAdyFDx38N_jKAuSK2IqDhuHZ1avo', 'width': 1179, 'height': 617}]}",dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
