author.headline,author.profile_url,author.username,full_urn,post_type,posted_at.date,posted_at.timestamp,stats.celebrate,stats.comments,stats.funny,stats.insight,stats.like,stats.love,stats.reposts,stats.support,stats.total_reactions,text,url,author.full_name,processed_text,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_compound,sentiment_label
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7402578320082796544,regular,2025-12-05 06:23:24,1764912204762,26,35,0,7,821,45,7,12,911,Had shared this few months back. Update on this- we are investing in Praan Health and supporting Navneeth to solve for elder care in India. Massive opportunity that needs patient capital.,https://www.linkedin.com/posts/dilipevs_had-shared-this-few-months-back-update-on-activity-7402578320082796544-I_Bn?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,Dilip Kumar,had shared this few months back update on this we are investing in praan health and supporting navneeth to solve for elder care in india massive opportunity that needs patient capital,0.0,0.665,0.335,0.9022,Positive
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7401119303774793728,regular,2025-12-01 05:45:48,1764564348167,20,136,2,16,2012,214,69,93,2357,"Everyone is experiencing brain fog. Including you. Stop scrolling, stop watching stupid reels, unfollow the nonsense, get out of the rubbish whatsapp groups, keep your phone away for atleast few hours a day, make something you’re proud of, help people without them asking, stop wasting time on gossip & outrage, choose what actually matters, protect your time, invest in your health, create more than you consume. Read a book. Save yourself.",https://www.linkedin.com/posts/dilipevs_everyone-is-experiencing-brain-fog-including-activity-7401119303774793728-sX8F?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,Dilip Kumar,everyone is experiencing brain fog including you stop scrolling stop watching stupid reels unfollow the nonsense get out of the rubbish whatsapp groups keep your phone away for atleast few hours a day make something youre proud of help people without them asking stop wasting time on gossip outrage choose what actually matters protect your time invest in your health create more than you consume read a book save yourself,0.229,0.605,0.166,-0.6808,Negative
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7396777492012945408,regular,2025-11-19 06:12:59,1763529179576,1,56,0,26,419,31,4,3,480,"Amul has evolved from a dairy to a nutrition brand and is probably the most underrated case study in modern day business. They did a revenue of 90,000cr in FY25. Hard to think of another company in the world that has done something similar. Notes on what i think they got right..

1) They innovate at cooperative speed not startup speed and still wins. Launched 250 product launches in 5 years and that's crazy speed for a cooperative with millions of farmers, 18000+ village societies, and government-linked processes. Most companies will shiver at this speed.

2) They turned cold chain into a moat decades before most startups spoke about supply chain tech. They run India’s largest cold supply chain with refrigeration networks across rural area and temperature controlled logistics in small towns. This single capability lets them enter any nutrition category quickly.

3) The nutrition transition feels like farmer driven. More milk production means surplus fat & SNF (casien, whey , lactose) and therefore opportunity to create value added products. Every new category like whey, chocolates, drinks, cheese, creates more value for farmers. Most nutrition brands optimise for margins but they optimise for farmer income.

4) Amul is probably the only brand that simultaneously sells mass and premium products all under same brand,  same dairy and distribution and with same trust. Their products range for Rs 5 to 500. Most brands split into sub brands while Amul let the trust carry everything.

No obsession with burn, CAC ,CM1/2 growth and branding. They quietly proved that trust, scale and farmer first thinking can still beat everyone.",https://www.linkedin.com/posts/dilipevs_amul-has-evolved-from-a-dairy-to-a-nutrition-activity-7396777492012945408-sVKw?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,Dilip Kumar,amul has evolved from a dairy to a nutrition brand and is probably the most underrated case study in modern day business they did a revenue of cr in fy hard to think of another company in the world that has done something similar notes on what i think they got right they innovate at cooperative speed not startup speed and still wins launched product launches in years and thats crazy speed for a cooperative with millions of farmers village societies and governmentlinked processes most companies will shiver at this speed they turned cold chain into a moat decades before most startups spoke about supply chain tech they run indias largest cold supply chain with refrigeration networks across rural area and temperature controlled logistics in small towns this single capability lets them enter any nutrition category quickly the nutrition transition feels like farmer driven more milk production means surplus fat snf casien whey lactose and therefore opportunity to create value added products every new category like whey chocolates drinks cheese creates more value for farmers most nutrition brands optimise for margins but they optimise for farmer income amul is probably the only brand that simultaneously sells mass and premium products all under same brand same dairy and distribution and with same trust their products range for rs to most brands split into sub brands while amul let the trust carry everything no obsession with burn cac cm growth and branding they quietly proved that trust scale and farmer first thinking can still beat everyone,0.032,0.822,0.147,0.9815,Positive
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7394638641383452672,regular,2025-11-13 08:33:57,1763019237848,0,47,0,1,357,26,12,28,412,"15–20% of medicines in India are fake or substandard. Pharma is a $58Billion market. This is not fear mongering but a reminder that your health shouldn’t rely on what comes in tablets. 

Prevention is still the cheapest, safest, and most authentic form of healthcare.

Move daily. Eat clean.Sleep well. Manage stress. Get regular blood work.

Build a life where you don’t need medicines often.",https://www.linkedin.com/posts/dilipevs_1520-of-medicines-in-india-are-fake-or-activity-7394638641383452672-qNyS?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,Dilip Kumar,of medicines in india are fake or substandard pharma is a billion market this is not fear mongering but a reminder that your health shouldnt rely on what comes in tablets prevention is still the cheapest safest and most authentic form of healthcare move daily eat cleansleep well manage stress get regular blood work build a life where you dont need medicines often,0.083,0.782,0.135,0.3736,Positive
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7389586926720344066,regular,2025-10-30 10:00:15,1761814815216,2,16,0,9,332,36,3,2,381,Boss had sent this internal message a few days back. Take a print and frame it.,https://www.linkedin.com/posts/dilipevs_boss-had-sent-this-internal-message-a-few-activity-7389586926720344066-iVlp?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,Dilip Kumar,boss had sent this internal message a few days back take a print and frame it,0.0,1.0,0.0,0.0,Neutral
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7375035321044049920,regular,2025-09-20 07:17:22,1758345442067,22,107,1,20,1795,144,31,96,2078,"America just put a $100,000 price tag on the Indian dream. Never been a better time than now for Indian engineers to build at home. The US was the promised land for Indian engineers but not anymore. And India isn’t the India of the 90s when engineers moved out for better pay and exposure. 

Earlier generations left India because they didn’t have a choice. Today, staying back is the smarter choice. The US is telling the world that they want fewer immigrants, at higher prices & under tighter conditions. 

In the 1960s & 70s, US actively recruited Indian doctors and engineers to fill shortages. In the 90s & 2000s, IT/software outsourcing made H-1B the obvious path for thousands of engineers. In reality, the India of today is not the India many left behind. 

This is not to say India is without its own constraints. We still have infrastructure gaps and bureaucracy is still frustrating.
But if you look back at history, Indian engineers have always thrived precisely in moments of constraint. 

The outsourcing opportunity of the 90s was born from wage arbitrage. The SaaS opportunity of the 2010s came from building global software with frugal & distributed teams. Each cycle has taken adversity and Indian entrepreneurs turned it into advantage.

The next cycle will be no different. The very inefficiencies of India around fragmented supply chains, healthcare gaps, broken education models will be the anchor to build world class companies. To solve for India is to solve for the future of other emerging markets.

This is the great inversion of our time and for the first time in history, the opportunity cost of leaving India may be greater than the opportunity cost of staying.

The last generation of Indian engineers built America’s tech backbone. The next generation has the chance to build India’s. Come back home. Time to build for India and from India.",https://www.linkedin.com/posts/dilipevs_america-just-put-a-100000-price-tag-on-activity-7375035321044049920-Is9K?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,Dilip Kumar,america just put a price tag on the indian dream never been a better time than now for indian engineers to build at home the us was the promised land for indian engineers but not anymore and india isnt the india of the s when engineers moved out for better pay and exposure earlier generations left india because they didnt have a choice today staying back is the smarter choice the us is telling the world that they want fewer immigrants at higher prices under tighter conditions in the s s us actively recruited indian doctors and engineers to fill shortages in the s s itsoftware outsourcing made hb the obvious path for thousands of engineers in reality the india of today is not the india many left behind this is not to say india is without its own constraints we still have infrastructure gaps and bureaucracy is still frustrating but if you look back at history indian engineers have always thrived precisely in moments of constraint the outsourcing opportunity of the s was born from wage arbitrage the saas opportunity of the s came from building global software with frugal distributed teams each cycle has taken adversity and indian entrepreneurs turned it into advantage the next cycle will be no different the very inefficiencies of india around fragmented supply chains healthcare gaps broken education models will be the anchor to build world class companies to solve for india is to solve for the future of other emerging markets this is the great inversion of our time and for the first time in history the opportunity cost of leaving india may be greater than the opportunity cost of staying the last generation of indian engineers built americas tech backbone the next generation has the chance to build indias come back home time to build for india and from india,0.066,0.803,0.13,0.968,Positive
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7368508498621431810,regular,2025-09-02 07:02:06,1756789326339,158,558,0,5,3002,344,8,76,3585,"Call me crazy but, I’m on a mission to create a community of 100 founders in India by end of this year who lift weights & runs a few days a week. Will never compromise on sleep and family time. And takes pride in being a happy & satisfied entrepreneur. Nothing else matters.",https://www.linkedin.com/posts/dilipevs_call-me-crazy-but-im-on-a-mission-to-create-activity-7368508498621431810-vaJg?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,Dilip Kumar,call me crazy but im on a mission to create a community of founders in india by end of this year who lift weights runs a few days a week will never compromise on sleep and family time and takes pride in being a happy satisfied entrepreneur nothing else matters,0.05,0.693,0.257,0.9286,Positive
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7365618821707071488,regular,2025-08-25 07:39:33,1756100373675,8,267,2,5,639,32,5,36,722,"Every day I see posts about why people want to leave India. India isn’t perfect, but no country is. I think before self driving cars or AI chips, we first need to improve quality of life here. 

Imagine if more of us built tools for public good in health & climate that make daily life better. Rainmatter/Zerodha will back and build this together.

What’s one problem you face daily that you wish had a simple solution?",https://www.linkedin.com/posts/dilipevs_every-day-i-see-posts-about-why-people-want-activity-7365618821707071488-I7jd?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,Dilip Kumar,every day i see posts about why people want to leave india india isnt perfect but no country is i think before self driving cars or ai chips we first need to improve quality of life here imagine if more of us built tools for public good in health climate that make daily life better rainmatterzerodha will back and build this together whats one problem you face daily that you wish had a simple solution,0.074,0.688,0.239,0.9421,Positive
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7363088962380328961,regular,2025-08-18 08:06:48,1755497208209,58,32,1,5,1017,106,3,9,1196,15months back i told a founder to not raise VC money. Yesterday he emailed me saying they’re profitable and on track to do $2M. Sharing this here as a reminder that not every founder needs an investor. Some just need to hear the truth and have the belief. Be like Sid!,https://www.linkedin.com/posts/dilipevs_15months-back-i-told-a-founder-to-not-raise-activity-7363088962380328961-W2kv?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,Dilip Kumar,months back i told a founder to not raise vc money yesterday he emailed me saying theyre profitable and on track to do m sharing this here as a reminder that not every founder needs an investor some just need to hear the truth and have the belief be like sid,0.0,0.804,0.196,0.8591,Positive
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7360538503241195521,regular,2025-08-11 07:12:11,1754889131365,6,97,1,3,413,14,4,6,443,"At Rainmatter-Zerodha, we’re keen to meet people building or passionate about Deeptech in India. The last 15 yrs were consumer apps. The next wave is Deeptech moats. If we don’t build this now, we’ll be depending on others for what matters most. 

Who should we talk and learn from?",https://www.linkedin.com/posts/dilipevs_at-rainmatter-zerodha-were-keen-to-meet-activity-7360538503241195521-NJ2h?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,Dilip Kumar,at rainmatterzerodha were keen to meet people building or passionate about deeptech in india the last yrs were consumer apps the next wave is deeptech moats if we dont build this now well be depending on others for what matters most who should we talk and learn from,0.0,0.829,0.171,0.7964,Positive
